class,Max_Ecio,Min_Ecio,Std_Ecio,Max_Rscp,Std_Rscp
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.297163
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.213412
yes,-25.000000,-25.000000, 0.000000,-79.000000, 1.764056
yes,-25.000000,-25.000000, 0.000000,-79.000000, 1.837477
yes,-25.000000,-25.000000, 0.000000,-78.000000, 2.256600
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.868264
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.721119
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.972955
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.012461
yes,-25.000000,-25.000000, 0.000000,-77.000000, 1.982721
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.183823
yes,-25.000000,-25.000000, 0.000000,-78.000000, 2.452797
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.312345
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.186275
no,-25.000000,-25.000000, 0.000000,-78.000000, 2.243284
yes,-25.000000,-25.000000, 0.000000,-78.000000, 2.373321
yes,-25.000000,-25.000000, 0.000000,-78.000000, 2.341241
yes,-25.000000,-25.000000, 0.000000,-79.000000, 2.218223
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.429079
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.741750
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.380476
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.410996
yes,-25.000000,-25.000000, 0.000000,-77.000000, 2.341107
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.561944
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.599014
yes,-25.000000,-25.000000, 0.000000,-75.000000, 2.897499
yes,-25.000000,-25.000000, 0.000000,-77.000000, 3.965202
yes,-25.000000,-25.000000, 0.000000,-74.000000, 4.699460
yes,-25.000000,-25.000000, 0.000000,-73.000000, 4.611357
yes,-25.000000,-25.000000, 0.000000,-73.000000, 3.976485
yes,-25.000000,-25.000000, 0.000000,-73.000000, 3.957218
yes,-25.000000,-25.000000, 0.000000,-76.000000, 3.794315
yes,-25.000000,-25.000000, 0.000000,-77.000000, 3.686526
yes,-25.000000,-25.000000, 0.000000,-76.000000, 3.976017
no,-25.000000,-25.000000, 0.000000,-72.000000, 4.542015
no,-25.000000,-25.000000, 0.000000,-72.000000, 4.758103
no,-25.000000,-25.000000, 0.000000,-72.000000, 4.597346
